epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2886,1.79434,3.88873,1.63596,9e-05,0.01585,7e-05,2e-05,2.24481,4.89444,1.70043,0.000466199,0.000466199,0.000466199
2,35.0536,1.48324,2.43015,1.35508,0.63223,0.101,0.22788,0.12934,2.00414,3.50532,1.39325,0.00092387,0.00092387,0.00092387
3,45.5847,1.43049,2.02553,1.33086,0.44003,0.44029,0.30238,0.16576,1.87325,2.69275,1.40017,0.00136268,0.00136268,0.00136268
4,55.3373,1.42225,1.8338,1.29902,0.34521,0.52024,0.25291,0.13826,1.84508,3.02122,1.34926,0.00134412,0.00134412,0.00134412
5,65.0204,1.3791,1.6848,1.27636,0.44416,0.57236,0.41442,0.24096,1.77678,2.01626,1.28559,0.00131582,0.00131582,0.00131582
6,74.738,1.35796,1.5781,1.24555,0.53214,0.4981,0.47722,0.27343,1.73266,1.92464,1.2716,0.00128753,0.00128753,0.00128753
7,84.423,1.33435,1.48919,1.2436,0.41828,0.47621,0.33791,0.18908,1.79087,2.855,1.289,0.00125923,0.00125923,0.00125923
8,94.0938,1.31819,1.45459,1.23414,0.50684,0.3302,0.21551,0.11999,1.84503,5.9845,1.36277,0.00123094,0.00123094,0.00123094
9,103.78,1.32891,1.42755,1.23387,0.4354,0.56731,0.46851,0.27865,1.75763,1.91236,1.27477,0.00120265,0.00120265,0.00120265
10,113.705,1.31283,1.41064,1.21831,0.44053,0.49305,0.45774,0.2596,1.75828,1.94671,1.26481,0.00117435,0.00117435,0.00117435
11,123.395,1.29499,1.37877,1.20137,0.52833,0.69635,0.59214,0.34534,1.73114,1.80866,1.26824,0.00114606,0.00114606,0.00114606
12,133.18,1.3025,1.35342,1.20183,0.5633,0.63725,0.59834,0.33987,1.72343,1.64201,1.26116,0.00111776,0.00111776,0.00111776
13,142.745,1.27862,1.30335,1.20756,0.57272,0.58233,0.57349,0.33813,1.70523,1.69877,1.23773,0.00108947,0.00108947,0.00108947
14,152.586,1.27205,1.29024,1.19061,0.47636,0.46748,0.28549,0.16485,1.76705,4.23569,1.29836,0.00106118,0.00106118,0.00106118
15,162.383,1.25689,1.27106,1.18127,0.43422,0.46026,0.22754,0.13051,1.84532,4.94185,1.33596,0.00103288,0.00103288,0.00103288
16,172.187,1.27949,1.27967,1.18009,0.53724,0.65792,0.56627,0.3298,1.64435,1.65991,1.19497,0.00100459,0.00100459,0.00100459
17,182.208,1.24407,1.25047,1.17224,0.29946,0.66376,0.33012,0.18573,1.77332,4.42057,1.27477,0.000976293,0.000976293,0.000976293
18,191.961,1.25165,1.23426,1.17149,0.56357,0.69151,0.64621,0.37248,1.70279,1.50269,1.22417,0.000947999,0.000947999,0.000947999
19,201.677,1.25337,1.2238,1.16908,0.56913,0.68496,0.63557,0.37644,1.66699,1.43689,1.20279,0.000919704,0.000919704,0.000919704
20,211.387,1.23842,1.21746,1.16201,0.51965,0.72299,0.63647,0.39515,1.62805,1.56674,1.19537,0.00089141,0.00089141,0.00089141
21,221.004,1.22922,1.20646,1.16253,0.37842,0.57925,0.42464,0.25458,1.67454,3.15716,1.23045,0.000863116,0.000863116,0.000863116
22,230.677,1.21304,1.18245,1.14984,0.37328,0.69381,0.44251,0.24792,1.65776,2.82872,1.22332,0.000834822,0.000834822,0.000834822
23,240.37,1.20808,1.16153,1.13789,0.63483,0.64452,0.64627,0.37676,1.65572,1.42202,1.20412,0.000806528,0.000806528,0.000806528
24,250.275,1.20549,1.14907,1.1331,0.60815,0.57252,0.59835,0.35877,1.6324,1.60722,1.18367,0.000778233,0.000778233,0.000778233
25,259.951,1.18922,1.1462,1.13357,0.60847,0.6826,0.67595,0.38736,1.62688,1.3566,1.18208,0.000749939,0.000749939,0.000749939
26,269.781,1.17703,1.12169,1.13324,0.42027,0.65181,0.50825,0.28861,1.66945,1.8648,1.21222,0.000721645,0.000721645,0.000721645
27,279.53,1.19674,1.12865,1.12716,0.5407,0.65986,0.62057,0.3826,1.67395,1.48074,1.2012,0.000693351,0.000693351,0.000693351
28,289.302,1.17763,1.12046,1.12168,0.60609,0.65585,0.67434,0.39383,1.66797,1.39286,1.21603,0.000665057,0.000665057,0.000665057
29,299.001,1.16632,1.10046,1.11481,0.62893,0.61507,0.68942,0.41312,1.65623,1.34947,1.20024,0.000636762,0.000636762,0.000636762
30,308.683,1.14401,1.05881,1.10991,0.5275,0.63001,0.56087,0.32798,1.63093,1.66737,1.19385,0.000608468,0.000608468,0.000608468
31,318.498,1.15281,1.07506,1.11075,0.56867,0.70052,0.71195,0.42731,1.62177,1.33733,1.17619,0.000580174,0.000580174,0.000580174
32,328.239,1.14438,1.05043,1.10167,0.48131,0.67088,0.58694,0.3398,1.65961,1.58785,1.20511,0.00055188,0.00055188,0.00055188
33,337.939,1.14813,1.0509,1.10804,0.59857,0.70392,0.68857,0.4173,1.62496,1.345,1.17939,0.000523586,0.000523586,0.000523586
34,347.706,1.13276,1.03282,1.09548,0.63111,0.66393,0.6757,0.40145,1.62997,1.36873,1.18474,0.000495291,0.000495291,0.000495291
35,357.361,1.13928,1.03469,1.09581,0.57583,0.68418,0.6412,0.38887,1.63277,1.5621,1.18126,0.000466997,0.000466997,0.000466997
36,367.061,1.10593,1.01385,1.07587,0.54442,0.61877,0.60229,0.34683,1.6449,1.55152,1.19825,0.000438703,0.000438703,0.000438703
37,376.742,1.11136,1.01432,1.07719,0.60983,0.68228,0.68171,0.39691,1.65937,1.30526,1.18564,0.000410409,0.000410409,0.000410409
38,386.7,1.10406,0.99459,1.07079,0.61508,0.65345,0.67104,0.38562,1.6608,1.32493,1.19946,0.000382115,0.000382115,0.000382115
39,396.391,1.08877,0.97208,1.06878,0.65661,0.65161,0.67201,0.3953,1.6676,1.3774,1.18919,0.00035382,0.00035382,0.00035382
40,406.125,1.08789,0.96076,1.05962,0.6564,0.64169,0.67333,0.40689,1.63824,1.34096,1.19546,0.000325526,0.000325526,0.000325526
41,422.183,1.11375,0.96802,1.08535,0.57209,0.66337,0.64547,0.37426,1.63265,1.42284,1.17814,0.000297232,0.000297232,0.000297232
42,431.937,1.07991,0.92232,1.06254,0.64285,0.62746,0.65802,0.37413,1.6505,1.34489,1.20281,0.000268938,0.000268938,0.000268938
43,441.823,1.06396,0.89984,1.05208,0.66405,0.62869,0.67903,0.39928,1.65881,1.354,1.19835,0.000240644,0.000240644,0.000240644
44,451.59,1.06146,0.90229,1.05056,0.66761,0.65721,0.67448,0.39018,1.6596,1.33099,1.2048,0.000212349,0.000212349,0.000212349
45,461.531,1.0471,0.86314,1.04035,0.66113,0.63642,0.67756,0.39012,1.66739,1.31785,1.20427,0.000184055,0.000184055,0.000184055
46,471.112,1.03904,0.85439,1.03842,0.60682,0.65972,0.65102,0.37357,1.6522,1.39713,1.19787,0.000155761,0.000155761,0.000155761
47,480.692,1.03693,0.85287,1.0352,0.637,0.64678,0.67042,0.38838,1.66051,1.3629,1.1996,0.000127467,0.000127467,0.000127467
48,490.302,1.02677,0.84652,1.02713,0.67035,0.61497,0.67149,0.39394,1.66025,1.33447,1.20656,9.91726e-05,9.91726e-05,9.91726e-05
49,499.868,1.0159,0.82346,1.02746,0.5864,0.69768,0.66352,0.38773,1.66791,1.36794,1.20079,7.08784e-05,7.08784e-05,7.08784e-05
50,509.423,1.01505,0.81821,1.02365,0.60213,0.66958,0.65596,0.38549,1.65718,1.347,1.19662,4.25842e-05,4.25842e-05,4.25842e-05
